n,tempo_ms,Ologn,On,Onlogn,On2,On3,O2n
440,4.3156e-05,8.78136,440,3863.8,193600,8.5184e+07,1.04858e+06
442,4.3199e-05,8.7879,442,3884.25,195364,8.63509e+07,1.04858e+06
444,4.3056e-05,8.79442,444,3904.72,197136,8.75284e+07,1.04858e+06
446,4.3133e-05,8.8009,446,3925.2,198916,8.87165e+07,1.04858e+06
448,4.3073e-05,8.80735,448,3945.7,200704,8.99154e+07,1.04858e+06
450,4.3045e-05,8.81378,450,3966.2,202500,9.1125e+07,1.04858e+06
452,6.4937e-05,8.82018,452,3986.72,204304,9.23454e+07,1.04858e+06
454,4.4723e-05,8.82655,454,4007.25,206116,9.35767e+07,1.04858e+06
456,4.535e-05,8.83289,456,4027.8,207936,9.48188e+07,1.04858e+06
458,4.3068e-05,8.8392,458,4048.36,209764,9.60719e+07,1.04858e+06
460,4.2543e-05,8.84549,460,4068.93,211600,9.7336e+07,1.04858e+06
462,4.2623e-05,8.85175,462,4089.51,213444,9.86111e+07,1.04858e+06
464,4.2877e-05,8.85798,464,4110.1,215296,9.98973e+07,1.04858e+06
466,4.2132e-05,8.86419,466,4130.71,217156,1.01195e+08,1.04858e+06
468,4.2311e-05,8.87036,468,4151.33,219024,1.02503e+08,1.04858e+06
470,4.2326e-05,8.87652,470,4171.96,220900,1.03823e+08,1.04858e+06
472,4.3298e-05,8.88264,472,4192.61,222784,1.05154e+08,1.04858e+06
474,4.4256e-05,8.88874,474,4213.26,224676,1.06496e+08,1.04858e+06
476,4.2656e-05,8.89482,476,4233.93,226576,1.0785e+08,1.04858e+06
478,4.2458e-05,8.90087,478,4254.61,228484,1.09215e+08,1.04858e+06
480,4.2996e-05,8.90689,480,4275.31,230400,1.10592e+08,1.04858e+06
482,4.2905e-05,8.91289,482,4296.01,232324,1.1198e+08,1.04858e+06
484,4.2797e-05,8.91886,484,4316.73,234256,1.1338e+08,1.04858e+06
486,4.2817e-05,8.92481,486,4337.46,236196,1.14791e+08,1.04858e+06
488,4.3788e-05,8.93074,488,4358.2,238144,1.16214e+08,1.04858e+06
490,4.3608e-05,8.93664,490,4378.95,240100,1.17649e+08,1.04858e+06
492,4.3365e-05,8.94251,492,4399.72,242064,1.19095e+08,1.04858e+06
494,4.3441e-05,8.94837,494,4420.49,244036,1.20554e+08,1.04858e+06
496,4.3394e-05,8.9542,496,4441.28,246016,1.22024e+08,1.04858e+06
498,4.3288e-05,8.96,498,4462.08,248004,1.23506e+08,1.04858e+06
500,4.3464e-05,8.96578,500,4482.89,250000,1.25e+08,1.04858e+06
502,4.3467e-05,8.97154,502,4503.71,252004,1.26506e+08,1.04858e+06
504,4.3317e-05,8.97728,504,4524.55,254016,1.28024e+08,1.04858e+06
506,4.3194e-05,8.98299,506,4545.39,256036,1.29554e+08,1.04858e+06
508,4.3584e-05,8.98868,508,4566.25,258064,1.31097e+08,1.04858e+06
510,4.3456e-05,8.99435,510,4587.12,260100,1.32651e+08,1.04858e+06
512,4.5782e-05,9,512,4608,262144,1.34218e+08,1.04858e+06
514,4.5352e-05,9.00562,514,4628.89,264196,1.35797e+08,1.04858e+06
516,4.6682e-05,9.01123,516,4649.79,266256,1.37388e+08,1.04858e+06
518,4.6518e-05,9.01681,518,4670.71,268324,1.38992e+08,1.04858e+06
520,4.451e-05,9.02237,520,4691.63,270400,1.40608e+08,1.04858e+06
522,4.4046e-05,9.02791,522,4712.57,272484,1.42237e+08,1.04858e+06
524,4.5235e-05,9.03342,524,4733.51,274576,1.43878e+08,1.04858e+06
526,4.5189e-05,9.03892,526,4754.47,276676,1.45532e+08,1.04858e+06
528,4.4542e-05,9.04439,528,4775.44,278784,1.47198e+08,1.04858e+06
530,4.4751e-05,9.04985,530,4796.42,280900,1.48877e+08,1.04858e+06
532,4.4174e-05,9.05528,532,4817.41,283024,1.50569e+08,1.04858e+06
534,4.3746e-05,9.0607,534,4838.41,285156,1.52273e+08,1.04858e+06
536,4.4365e-05,9.06609,536,4859.42,287296,1.53991e+08,1.04858e+06
538,4.4318e-05,9.07146,538,4880.45,289444,1.55721e+08,1.04858e+06
540,4.6341e-05,9.07682,540,4901.48,291600,1.57464e+08,1.04858e+06
542,4.6221e-05,9.08215,542,4922.52,293764,1.5922e+08,1.04858e+06
544,4.4391e-05,9.08746,544,4943.58,295936,1.60989e+08,1.04858e+06
546,4.4263e-05,9.09276,546,4964.65,298116,1.62771e+08,1.04858e+06
548,4.5847e-05,9.09803,548,4985.72,300304,1.64567e+08,1.04858e+06
550,4.5819e-05,9.10329,550,5006.81,302500,1.66375e+08,1.04858e+06
552,5.7635e-05,9.10852,552,5027.91,304704,1.68197e+08,1.04858e+06
554,5.4554e-05,9.11374,554,5049.01,306916,1.70031e+08,1.04858e+06
556,5.9521e-05,9.11894,556,5070.13,309136,1.7188e+08,1.04858e+06
558,5.2274e-05,9.12412,558,5091.26,311364,1.73741e+08,1.04858e+06
560,4.7244e-05,9.12928,560,5112.4,313600,1.75616e+08,1.04858e+06
562,4.6837e-05,9.13443,562,5133.55,315844,1.77504e+08,1.04858e+06
564,4.6831e-05,9.13955,564,5154.71,318096,1.79406e+08,1.04858e+06
566,4.6848e-05,9.14466,566,5175.88,320356,1.81321e+08,1.04858e+06
568,4.7183e-05,9.14975,568,5197.06,322624,1.8325e+08,1.04858e+06
570,4.7366e-05,9.15482,570,5218.25,324900,1.85193e+08,1.04858e+06
572,4.5152e-05,9.15987,572,5239.45,327184,1.87149e+08,1.04858e+06
574,4.4887e-05,9.16491,574,5260.66,329476,1.89119e+08,1.04858e+06
576,4.6622e-05,9.16993,576,5281.88,331776,1.91103e+08,1.04858e+06
578,4.6271e-05,9.17493,578,5303.11,334084,1.93101e+08,1.04858e+06
580,4.7026e-05,9.17991,580,5324.35,336400,1.95112e+08,1.04858e+06
582,4.7549e-05,9.18488,582,5345.6,338724,1.97137e+08,1.04858e+06
584,4.7839e-05,9.18982,584,5366.86,341056,1.99177e+08,1.04858e+06
586,6.3816e-05,9.19476,586,5388.13,343396,2.0123e+08,1.04858e+06
588,4.5054e-05,9.19967,588,5409.41,345744,2.03297e+08,1.04858e+06
590,4.5167e-05,9.20457,590,5430.7,348100,2.05379e+08,1.04858e+06
592,4.4124e-05,9.20945,592,5452,350464,2.07475e+08,1.04858e+06
594,4.4232e-05,9.21432,594,5473.31,352836,2.09585e+08,1.04858e+06
596,4.4212e-05,9.21917,596,5494.62,355216,2.11709e+08,1.04858e+06
598,4.4094e-05,9.224,598,5515.95,357604,2.13847e+08,1.04858e+06
600,4.6499e-05,9.22882,600,5537.29,360000,2.16e+08,1.04858e+06
602,4.6241e-05,9.23362,602,5558.64,362404,2.18167e+08,1.04858e+06
604,4.5075e-05,9.2384,604,5580,364816,2.20349e+08,1.04858e+06
606,4.5211e-05,9.24317,606,5601.36,367236,2.22545e+08,1.04858e+06
608,4.4098e-05,9.24793,608,5622.74,369664,2.24756e+08,1.04858e+06
610,4.397e-05,9.25267,610,5644.13,372100,2.26981e+08,1.04858e+06
612,4.5121e-05,9.25739,612,5665.52,374544,2.29221e+08,1.04858e+06
614,6.404e-05,9.26209,614,5686.93,376996,2.31476e+08,1.04858e+06
616,5.1078e-05,9.26679,616,5708.34,379456,2.33745e+08,1.04858e+06
618,5.3882e-05,9.27146,618,5729.76,381924,2.36029e+08,1.04858e+06
620,5.1224e-05,9.27612,620,5751.2,384400,2.38328e+08,1.04858e+06
622,5.1195e-05,9.28077,622,5772.64,386884,2.40642e+08,1.04858e+06
624,5.4504e-05,9.2854,624,5794.09,389376,2.42971e+08,1.04858e+06
626,5.4619e-05,9.29002,626,5815.55,391876,2.45314e+08,1.04858e+06
628,5.3835e-05,9.29462,628,5837.02,394384,2.47673e+08,1.04858e+06
630,4.9529e-05,9.29921,630,5858.5,396900,2.50047e+08,1.04858e+06
632,4.6256e-05,9.30378,632,5879.99,399424,2.52436e+08,1.04858e+06
634,4.622e-05,9.30834,634,5901.49,401956,2.5484e+08,1.04858e+06
636,4.4845e-05,9.31288,636,5922.99,404496,2.57259e+08,1.04858e+06
638,4.4978e-05,9.31741,638,5944.51,407044,2.59694e+08,1.04858e+06
640,4.6496e-05,9.32193,640,5966.03,409600,2.62144e+08,1.04858e+06
